niat,Jawapan
cari_bagaimana,"Masukkan destinasi, tarikh perjalanan dan bilangan tetamu anda, kemudian klik atau ketik Cari. Penapis boleh membantu menyempitkan pilihan (cth: julat harga). Klik atau ketik Lagi penapis untuk melihat semua penapis yang tersedia. Tatal melalui penyenaraian atau gunakan peta untuk mencari penyenaraian di lokasi tertentu. Klik atau ketik penyenaraian untuk membukanya. Baca huraian, semak kemudahan yang tersedia, semak peraturan rumah dan baca ulasan yang tetamu lain tinggalkan untuk Hos. Anda juga boleh mencari kejiranan, tanda tempat dan banyak lagi. Ada soalan tentang tempat yang anda fikirkan? Mesej kepada Hos."
peta_carian,Peta ialah cara cepat untuk menyemak penyenaraian yang berkaitan dengan bidang yang diminati. Anda boleh mengezum masuk atau bergerak di sekeliling peta untuk mencari penyenaraian tambahan yang tidak muncul pada mulanya.
carian_jenis_penapis,"Di bahagian atas halaman hasil carian, anda akan menemui penapis popular, seperti: Jenis tempat: Dari bilik kongsi ke seluruh tempat, ketahui lebih lanjut tentang jenis tempat penginapan. Penyenaraian unik: Pilih daripada pilihan seperti rumah api, kabin atau bot. Harga: Gunakan skala gelongsor untuk mengecilkan carian anda dalam julat harga anda. Fleksibiliti pembatalan: Fikirkan rancangan anda mungkin berubah? Cari penginapan yang polisi pembatalannya menawarkan fleksibiliti. Tempah Segera: Cari tempat yang boleh anda tempah tanpa menunggu kelulusan Hos. Bilik dan katil: Bilik tidur, bilik mandi, katil—pilih nombor yang sesuai untuk kumpulan anda. Jenis hartanah: Ia adalah penginapan anda, jadi apakah suasana anda? Cari vila, asrama, pangsapuri dan banyak lagi. Penginapan unik: Teruskan, hidupkan impian! Cari rumah pokok, yurt, atau bahkan istana. Kemudahan: Sesetengah orang memerlukan dapur yang berfungsi, yang lain mahukan TV, dan yang lain mahukan tempat letak kereta percuma. Pilih apa yang anda perlukan untuk selesa. Kemudahan: Kolam renang? Gim? Anda mempunyai pilihan. Kebolehcapaian: Perlukan kemasukan tanpa langkah atau palang cengkaman semasa mandi? Pilih ciri untuk keselesaan dan keselamatan. Bahasa hos: Pilih Hos yang bercakap bahasa yang anda tahu. Peraturan rumah: Adakah anda mahukan tempat yang membenarkan haiwan peliharaan? Adakah anda merancang untuk mempunyai mana-mana pelawat tempatan semasa penginapan anda? Cari tempat dengan peraturan yang sesuai dengan anda."
penapis_carian,"Kadang-kadang anda hanya mahu menyemak imbas. Pada masa lain, anda tahu apa yang anda mahukan. Penapis carian ialah cara terbaik untuk mengecilkan pilihan anda apabila anda mencari tempat penginapan."
carian_kategori_umum,"Beg sudah penuh dan tidak pasti ke mana hendak pergi? Jika tetamu memerlukan inspirasi, mereka boleh menyemak imbas Kategori Airbnb—koleksi berdasarkan gaya unik penginapan, lokasi atau kedekatan dengan sesuatu aktiviti—untuk membantu mereka mencari penginapan (dan gaya) yang sesuai untuk mereka. Tetamu boleh menemui cara yang lebih fleksibel untuk melancong—menyemak imbas berjuta-juta rumah yang tidak pernah mereka ketahui wujud. Jika tetamu mencari destinasi tertentu, hasil carian mereka akan termasuk semua penyenaraian. Di samping itu, Kategori akan dipaparkan, menjadikannya lebih mudah untuk menemui rumah yang luar biasa dalam (atau hanya di luar) kawasan carian mereka."
dasar_pembatalan_cari,"Malah rancangan terbaik boleh berubah. Hos Airbnb memahaminya, itulah sebabnya ramai daripada mereka menawarkan banyak masa untuk membatalkan tempahan anda tanpa penalti jika sesuatu timbul. Kini anda boleh mencari penyenaraian dengan dasar pembatalan yang lebih fleksibel dengan menggunakan penapis carian kami. Anda boleh mencari penyenaraian yang menawarkan bayaran balik penuh jika anda akhirnya perlu membatalkan, walaupun hampir dengan tarikh berlepas anda. Untuk menggunakan penapis ini, hanya masukkan destinasi dan tarikh perjalanan anda. Pada halaman penyenaraian, anda boleh memilih penapis pembatalan untuk menunjukkan hanya penyenaraian yang menawarkan: Bayaran balik penuh kadar setiap malam jika anda membatalkan sekurang-kurangnya 1 hari sebelum ketibaan atau, Bayaran balik penuh kadar setiap malam jika anda membatalkan sekurang-kurangnya 5 hari sebelum itu hingga ketibaan Anda boleh melihat dasar pembatalan khusus yang telah ditetapkan oleh Hos anda pada penyenaraian mereka sebelum anda menempah yang akan memberitahu anda tarikh yang perlu anda batalkan untuk mengelakkan sebarang penalti."
carian_kategori,"Jika tetamu mencari destinasi tertentu, hasil carian mereka akan termasuk semua penyenaraian. Di samping itu, Kategori akan dipaparkan, menjadikannya lebih mudah untuk menemui rumah yang luar biasa dalam (atau hanya di luar) kawasan carian mereka. Jika mereka tidak mencari destinasi tertentu, pilihan Kategori mungkin muncul bergantung pada musim, lokasi dan sebarang carian tetamu sebelumnya."
cari_pecah,"Ingin membahagikan penginapan yang lebih lama antara dua rumah berbeza? Tetamu boleh mencuba menggunakan Split Stays—ciri yang menggandingkan dua penginapan berturut-turut untuk tempoh tarikh mereka, membolehkan mereka meneroka rumah, kawasan kejiranan atau destinasi yang berbeza, semasa perjalanan mereka. Sebagai contoh, jika mereka menyemak imbas kategori Melayari, Split Stays boleh menunjukkan kepada mereka sepasang rumah di Santa Barbara dan La Jolla, dan kemudian memaparkan jarak antara kedua-dua penginapan pada peta supaya mereka tahu di mana kedua-dua rumah berada (dan yang tinggal dahulu). Setelah mereka memilih Penginapan Berpisah, mereka dibimbing melalui antara muka yang mudah digunakan untuk menempah setiap penginapan—satu rumah pada satu masa."
cari_kejiranan,"Anda boleh mencari kejiranan, tanda tempat atau jalan tertentu dengan cara yang sama seperti yang anda lakukan untuk bandar—dengan menaipnya ke dalam medan Lokasi. (cth: “Sagrada Familia, Barcelona” atau “Lombard Street, San Francisco”.) Anda juga akan menemui kawasan kejiranan dan tempat menarik tempatan yang dikenal pasti pada peta dalam hasil carian anda"
penyenaraian_ketersediaan,"Selagi anda memasukkan destinasi, tarikh perjalanan dan bilangan tetamu anda semasa mencari di Airbnb, semua penyenaraian yang dipaparkan harus tersedia. Anda juga boleh mempertimbangkan untuk menghantar mesej kepada Hos untuk mengesahkan ketersediaan, bersama-sama dengan sebarang butiran lain. Kami menggalakkan Hos untuk memastikan kalendar mereka dikemas kini, tetapi tidak ada salahnya untuk menyemak."
