Intents,Questions,Responses
search_how,How to search for stays?,"Enter your destination, travel dates, and number of guests, then click or tap Search.
Filters can help narrow options (ex: price range). Click or tap More filters to view all available filters.
Scroll through the listings or use the map to find listings in a specific location.
Click or tap a listing to open it. Read the description, check the available amenities, review the house rules, and read reviews that other guests have left for the Host.
You can also search for neighborhoods, landmarks, and more. Got a question about a place you have in mind? Message the Host."
search_how,How do I search for stays?,"Enter your destination, travel dates, and number of guests, then click or tap Search.
Filters can help narrow options (ex: price range). Click or tap More filters to view all available filters.
Scroll through the listings or use the map to find listings in a specific location.
Click or tap a listing to open it. Read the description, check the available amenities, review the house rules, and read reviews that other guests have left for the Host.
You can also search for neighborhoods, landmarks, and more. Got a question about a place you have in mind? Message the Host."
search_how,Ways to search for stays?,"Enter your destination, travel dates, and number of guests, then click or tap Search.
Filters can help narrow options (ex: price range). Click or tap More filters to view all available filters.
Scroll through the listings or use the map to find listings in a specific location.
Click or tap a listing to open it. Read the description, check the available amenities, review the house rules, and read reviews that other guests have left for the Host.
You can also search for neighborhoods, landmarks, and more. Got a question about a place you have in mind? Message the Host."
search_how,How can I search for stays?,"Enter your destination, travel dates, and number of guests, then click or tap Search.
Filters can help narrow options (ex: price range). Click or tap More filters to view all available filters.
Scroll through the listings or use the map to find listings in a specific location.
Click or tap a listing to open it. Read the description, check the available amenities, review the house rules, and read reviews that other guests have left for the Host.
You can also search for neighborhoods, landmarks, and more. Got a question about a place you have in mind? Message the Host."
search_how,I want to search for stays,"Enter your destination, travel dates, and number of guests, then click or tap Search.
Filters can help narrow options (ex: price range). Click or tap More filters to view all available filters.
Scroll through the listings or use the map to find listings in a specific location.
Click or tap a listing to open it. Read the description, check the available amenities, review the house rules, and read reviews that other guests have left for the Host.
You can also search for neighborhoods, landmarks, and more. Got a question about a place you have in mind? Message the Host."
search_how,Steps to search for stays?,"Enter your destination, travel dates, and number of guests, then click or tap Search.
Filters can help narrow options (ex: price range). Click or tap More filters to view all available filters.
Scroll through the listings or use the map to find listings in a specific location.
Click or tap a listing to open it. Read the description, check the available amenities, review the house rules, and read reviews that other guests have left for the Host.
You can also search for neighborhoods, landmarks, and more. Got a question about a place you have in mind? Message the Host."
search_map,What is the map for?,The map is a quick way to review the listings in relation to areas of interest. You can zoom in or move around the map to find additional listings that don’t appear at first.
search_map,How to use the map,The map is a quick way to review the listings in relation to areas of interest. You can zoom in or move around the map to find additional listings that don’t appear at first.
search_map,What is the map used for?,The map is a quick way to review the listings in relation to areas of interest. You can zoom in or move around the map to find additional listings that don’t appear at first.
search_map,What I can do with the map?,The map is a quick way to review the listings in relation to areas of interest. You can zoom in or move around the map to find additional listings that don’t appear at first.
search_map,Why use map?,The map is a quick way to review the listings in relation to areas of interest. You can zoom in or move around the map to find additional listings that don’t appear at first.
search_map,Why map should be utilized?,The map is a quick way to review the listings in relation to areas of interest. You can zoom in or move around the map to find additional listings that don’t appear at first.
search_filter_type,What search filters are available?,"At the top of the search results page, you’ll find popular filters, such as:

Type of place: From shared rooms to entire places, learn more about the types of places to stay.
Unique listings: Choose from options like lighthouses, cabins, or boats.
Price: Use the sliding scale to narrow down your search within your price range.
Cancellation flexibility:? Think your plans may change? Find stays whose cancellation policies offer flexibility.
Instant Book: Find places you can book without waiting for Host approval.
Rooms and beds: Bedrooms, bathrooms, beds—choose the number that’s right for your group.
Property type: It's your stay, so what's your vibe? Search for villas, hostels, apartments, and more.
Unique stays: Go ahead, live the dream! Search for treehouses, yurts, or even castles.
Amenities: Some people need a working kitchen, others want a TV, and the rest want free parking. Choose what you need to be comfortable. 
Facilities: Pool? Gym? You’ve got options.
Accessibility: Need step-free entry or grab bars in the shower? Select features for comfort and safety.
Host language: Choose Hosts who speak a language you know.
House rules: Do you want somewhere that allows pets? Are you planning on having any local visitors during your stay? Search for places with rules that suit you."
