search_how,"Enter your destination, travel dates, and number of guests, then click or tap Search.
Filters can help narrow options (ex: price range). Click or tap More filters to view all available filters.
Scroll through the listings or use the map to find listings in a specific location.
Click or tap a listing to open it. Read the description, check the available amenities, review the house rules, and read reviews that other guests have left for the Host.
You can also search for neighborhoods, landmarks, and more. Got a question about a place you have in mind? Message the Host."
search_map,The map is a quick way to review the listings in relation to areas of interest. You can zoom in or move around the map to find additional listings that don’t appear at first.
search_filter_type,"At the top of the search results page, you’ll find popular filters, such as:

Type of place: From shared rooms to entire places, learn more about the types of places to stay.
Unique listings: Choose from options like lighthouses, cabins, or boats.
Price: Use the sliding scale to narrow down your search within your price range.
Cancellation flexibility:? Think your plans may change? Find stays whose cancellation policies offer flexibility.
Instant Book: Find places you can book without waiting for Host approval.
Rooms and beds: Bedrooms, bathrooms, beds—choose the number that’s right for your group.
Property type: It's your stay, so what's your vibe? Search for villas, hostels, apartments, and more.
Unique stays: Go ahead, live the dream! Search for treehouses, yurts, or even castles.
Amenities: Some people need a working kitchen, others want a TV, and the rest want free parking. Choose what you need to be comfortable. 
Facilities: Pool? Gym? You’ve got options.
Accessibility: Need step-free entry or grab bars in the shower? Select features for comfort and safety.
Host language: Choose Hosts who speak a language you know.
House rules: Do you want somewhere that allows pets? Are you planning on having any local visitors during your stay? Search for places with rules that suit you."
search_filter,"Sometimes you just want to browse. Other times, you know exactly what you want. Search filters are a great way to narrow down your choices when you’re finding a place to stay."
search_categories_general,"Bags are packed and not sure where to go? If guests need inspiration, they can browse Airbnb Categories—collections based on a stay’s unique style, location, or proximity to an activity—to help them find the stay (and style) that’s right for them. Guests can discover more flexible ways to travel—browsing millions of homes they never knew existed. If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area."
search_cancellation_policy,"Even the best-laid plans can change. Airbnb Hosts get that, which is why many of them offer plenty of time to cancel your reservation penalty-free if something comes up.

Now you can find listings with more flexible cancellation policies by using our search filter. You can search for listings that offer a full refund if you end up needing to cancel, even if it’s close to your departure date.

To use this filter, simply enter your destination and travel dates. On the listings page you can select the cancellation filter to show only listings that offer:

A full refund of nightly rate if you cancel at least 1 day prior to arrival, or,
A full refund of nightly rate if you cancel at least 5 days prior to arrival
You can see the specific cancellation policy your Host has set on their listing before you book which will tell you what date you need to cancel by to avoid any penalties."
search_category,"If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area.

If they don’t search for a specific destination, a selection of Categories may appear depending on seasons, location, and any previous guest searches."
search_split ,"Want to split longer stays between two different homes?

Guests can try using Split Stays—a feature that pairs two consecutive stays for the span of their dates, allowing them to explore different homes, neighborhoods, or even different destinations, during their trip.

For example, if they’re browsing the Surfing category, Split Stays may show them a pair of homes in Santa Barbara and La Jolla, and then display the distance between both stays on a map so they’ll know where both homes are (and which stay is first). Once they select a Split Stay, they’re guided through an easy-to-use interface to book each stay—one home at a time."
search_neighbourhood,"You can search for a specific neighborhood, landmark, or street the same way you would for a city—by typing it into the Location field. (ex: “Sagrada Familia, Barcelona” or “Lombard Street, San Francisco”.) You’ll also find neighborhoods and local points of interest identified on the map in your search results"
listing_availability,"As long as you enter your destination, travel dates, and number of guests when searching on Airbnb, all listings that appear should be available.

You can also consider messaging the Host to confirm availability, along with any other details. We encourage Hosts to keep their calendars up to date, but it doesn’t hurt to check."
