意图,回应
如何搜索,输入您的目的地、旅行日期和客人人数，然后单击或点按“搜索”。过滤器可以帮助缩小选择范围（例如：价格范围）。单击或点击更多过滤器以查看所有可用过滤器。滚动列表或使用地图查找特定位置的列表。单击或点击列表以将其打开。阅读描述、检查可用设施、查看房屋规则，并阅读其他房客为房东留下的评论。您还可以搜索社区、地标等。对您心目中的地方有疑问吗？给主人留言。
搜索地图,该地图是查看与感兴趣区域相关的列表的快速方法。您可以放大或在地图上四处移动以查找最初未显示的其他列表。
搜索筛选类型,在搜索结果页面的顶部，您会找到流行的过滤器，例如： 地点类型：从共享房间到整个地点，了解有关住宿地点类型的更多信息。独特的列表：从灯塔、小屋或船只等选项中进行选择。价格：使用滑动比例在您的价格范围内缩小搜索范围。取消灵活性：认为您的计划可能会改变？查找取消政策提供灵活性的住宿。立刻预订：查找您可以预订的地方，而无需等待房东批准。房间和床：卧室、浴室、床——选择适合您的团队的号码。物业类型：这是您的住宿，您的氛围如何？搜索别墅、旅馆、公寓等。独特的住宿：继续前进，实现梦想！搜索树屋、蒙古包，甚至城堡。便利设施：有些人需要一个工作厨房，有些人需要一台电视，而其他人则需要免费停车。选择你需要舒适的东西。设施：游泳池？健身房？你有选择。可访问性：淋浴时需要无台阶入口或扶手？选择舒适和安全的功能。主持人语言：选择讲您知道的语言的主持人。房屋规则：你想要一个可以养宠物的地方吗？您是否打算在逗留期间接待任何当地游客？搜索具有适合您的规则的地点。
搜索筛选,有时您只想浏览。其他时候，你确切地知道你想要什么。当您寻找住宿地点时，搜索过滤器是缩小选择范围的好方法。
通用搜索类别,行李打包不知道去哪里？如果客人需要灵感，他们可以浏览 爱彼迎 类别（基于住宿的独特风格、位置或与活动的接近程度的系列），以帮助他们找到适合他们的住宿（和风格）。客人可以发现更灵活的旅行方式——浏览数以百万计的他们从来不知道存在的房屋。如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。
搜索取消方针,即使是最好的计划也会改变。 爱彼迎 房东明白这一点，这就是为什么他们中的许多人会提供足够的时间来取消您的预订，而如果出现问题，可以免费取消预订。现在，您可以使用我们的搜索过滤器找到具有更灵活取消政策的列表。如果您最终需要取消，即使它接近您的出发日期，您也可以搜索提供全额退款的列表。要使用此过滤器，只需输入您的目的地和旅行日期。在房源页面上，您可以选择取消过滤器以仅显示提供以下服务的房源：如果您在抵达前至少 1 天取消，则全额退款每晚房费，或者，如果您至少在抵达前 5 天取消，全额退款每晚房费到到达 您可以在预订前查看房东在其房源上设置的具体取消政策，该政策会告诉您需要在什么日期之前取消以避免任何处罚。
搜索类别,如果客人搜索特定目的地，他们的搜索结果将包括所有列表。此外，还将显示类别，从而更容易在搜索区域内（或仅在其外）发现令人难以置信的房屋。如果他们不搜索特定目的地，则可能会根据季节、位置和任何以前的客人搜索显示类别选择。
搜索分住宿,想在两个不同的房子之间分开住更长的时间吗？客人可以尝试使用“拆分住宿”功能，该功能可以在他们的日期范围内将两次连续住宿配对，让他们在旅途中探索不同的家庭、社区甚至不同的目的地。例如，如果他们正在浏览冲浪类别，Split Stays 可能会向他们展示位于圣巴巴拉和拉霍亚的一对住宅，然后在地图上显示两个住宅之间的距离，以便他们知道这两座住宅的位置（以及哪个逗留是第一的）。一旦他们选择了拆分住宿，他们就会被引导通过一个易于使用的界面来预订每次住宿——一次一个家。
搜索邻里,"您可以像搜索城市一样搜索特定的社区、地标或街道，方法是在位置字段中输入。 （例如：“Sagrada Familia, Barcelona”或“Lombard Street, San Francisco”。）您还可以在搜索结果中找到地图上标识的社区和当地景点"
列表有空,只要您在爱彼迎上搜索时输入您的目的地、旅行日期和客人人数，所有出现的房源都应该可用。您还可以考虑向主机发送消息以确认可用性以及任何其他详细信息。我们鼓励房东及时更新他们的日历，但检查一下也无妨。
列表类型,整个地方 如果您正在寻找一个家外之家，那么整个地方都是最好的。拥有一个完整的地方，您将拥有整个空间。这通常包括卧室、浴室、厨房和单独的专用入口。房东应在描述中注明他们是否会入住该物业（例如：“房东占据房屋的一楼”），并提供有关房源的更多详细信息。私人房间 如果您喜欢一点隐私，但仍然重视本地连接，私人房间非常棒。当您预订私人房间时，您将拥有自己的私人睡眠房间，并可能与他人共享一些空间。您可能需要穿过其他主人或客人可能占据的室内空间才能到达您的房间。酒店客房 无论是私人客房还是共用客房，酒店客房都提供与传统酒店相关的服务和热情好客水平。客房可在精品或生活方式酒店、旅馆、住宿加早餐旅馆或类似物业中使用。它们通常包括充满活力的公共区域和具有独特风格的房间。共享房间 共享房间适用于您不介意与他人共享空间的情况。当您预订共享房间时，您将睡在与他人共享的空间中，并与其他人共享整个空间。共享房间在寻找新朋友和预算友好型住宿的灵活旅行者中很受欢迎。
列表自己入住登记,自助入住意味着客人无需主人在场即可进入某个地方。在抵达日期的指定入住时间之后的任何时间，客人都可以方便地通过以下方式进入： 钥匙箱 智能锁 键盘 钥匙或通过大楼工作人员（如门卫或前台服务员）进行访问，他们必须在场24/7 这样做
列表立刻,只要您已完成帐户设置，即刻预订列表允许您立即预订，而无需向房东发送请求以获得批准。没有额外费用，对于最后一分钟的旅行特别方便。只需过滤您的搜索以仅显示 Instant Book 列表并预订！
列表标签,在浏览特定房源的评论时，您可能会注意到一些评论包含标识客人住宿类型的标签。这些标签旨在帮助您找到可能与您的旅行相关的评论。您可能会在列表中找到的标签是： 长期住宿：在客人停留的地方至少停留 28 天 周末旅行：对从周五或周六开始到周日结束的周末住宿的评论 最后一分钟旅行：任何提前不到 2 天预订的住宿 团体旅行：评价至少有 4 名成人且没有儿童或婴儿的住宿 家庭旅行：评价至少有一名儿童或婴儿的住宿。根据您为特定住宿选择的搜索选项，这些标签可能会显示也可能不会显示。
列表网络,要查看列表中的 网络 速度：转到 网络 旁边的“此地点提供的内容”部分，您会找到以 Mbps 为单位的下载速度。如果 网络 大于 50 Mbps，您将看到 Fast 网络 而不是 网络 如果您转到显示所有设施并滚动到 Internet 和办公室部分，在 网络 旁边，您将看到有关不同速度可以进行哪些活动的更多详细信息一般支持
每月上市,在 爱彼迎 的每月住宿部分突出显示的房源符合这些标准。要接受更长时间的住宿，房源必须可用于 28 天或更长时间的预订。这些房源配备了适合长途旅行的便利设施，包括：厨房、无线网络、必需品（卫生纸、肥皂、毛巾、床单和枕头）、每月折扣价和延期付款、入住 28 晚或更多为您的住宿打折。包含在每月住宿中的房源必须提供 28 天或更长时间的折扣或专门定价。入住 28 天或更长时间的客人可以按月支付住宿费用。
